Column,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
TrainingTimesLastYear,0.5,4.5,238,16.19
PerformanceRating,3.0,3.0,226,15.37
MonthlyIncome,-5291.0,16581.0,114,7.76
YearsSinceLastPromotion,-4.5,7.5,107,7.28
YearsAtCompany,-6.0,18.0,104,7.07
StockOptionLevel,-1.5,2.5,85,5.78
TotalWorkingYears,-7.5,28.5,63,4.29
NumCompaniesWorked,-3.5,8.5,52,3.54
YearsInCurrentRole,-5.5,14.5,21,1.43
YearsWithCurrManager,-5.5,14.5,14,0.95
MonthlyRate,-10574.75,39083.25,0,0.0
DailyRate,-573.0,2195.0,0,0.0
PercentSalaryHike,3.0,27.0,0,0.0
JobSatisfaction,-1.0,7.0,0,0.0
RelationshipSatisfaction,-1.0,7.0,0,0.0
JobLevel,-2.0,6.0,0,0.0
JobInvolvement,0.5,4.5,0,0.0
HourlyRate,-5.62,137.38,0,0.0
WorkLifeBalance,0.5,4.5,0,0.0
EnvironmentSatisfaction,-1.0,7.0,0,0.0
Education,-1.0,7.0,0,0.0
DistanceFromHome,-16.0,32.0,0,0.0
Age,10.5,62.5,0,0.0
