Variable,Correlation_With_Attrition,Absolute_Correlation
JobLevel,-0.17,0.17
TotalWorkingYears,-0.17,0.17
Age,-0.16,0.16
YearsInCurrentRole,-0.16,0.16
MonthlyIncome,-0.16,0.16
YearsWithCurrManager,-0.16,0.16
StockOptionLevel,-0.14,0.14
JobInvolvement,-0.13,0.13
YearsAtCompany,-0.13,0.13
JobSatisfaction,-0.1,0.1
EnvironmentSatisfaction,-0.1,0.1
DistanceFromHome,0.08,0.08
DailyRate,-0.06,0.06
WorkLifeBalance,-0.06,0.06
TrainingTimesLastYear,-0.06,0.06
RelationshipSatisfaction,-0.05,0.05
NumCompaniesWorked,0.04,0.04
Education,-0.03,0.03
YearsSinceLastPromotion,-0.03,0.03
MonthlyRate,0.02,0.02
HourlyRate,-0.01,0.01
PercentSalaryHike,-0.01,0.01
PerformanceRating,0.0,0.0
