Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1.0,-0.16,0.01,-0.0,0.21,0.01,0.02,0.03,0.51,-0.0,0.5,0.03,0.3,0.0,0.0,0.05,0.04,0.68,-0.02,-0.02,0.31,0.21,0.22,0.2
-0.16,1.0,-0.06,0.08,-0.03,-0.1,-0.01,-0.13,-0.17,-0.1,-0.16,0.02,0.04,-0.01,0.0,-0.05,-0.14,-0.17,-0.06,-0.06,-0.13,-0.16,-0.03,-0.16
0.01,-0.06,1.0,-0.0,-0.02,0.02,0.02,0.05,0.0,0.03,0.01,-0.03,0.04,0.02,0.0,0.01,0.04,0.01,0.0,-0.04,-0.03,0.01,-0.03,-0.03
-0.0,0.08,-0.0,1.0,0.02,-0.02,0.03,0.01,0.01,-0.0,-0.02,0.03,-0.03,0.04,0.03,0.01,0.04,0.0,-0.04,-0.03,0.01,0.02,0.01,0.01
0.21,-0.03,-0.02,0.02,1.0,-0.03,0.02,0.04,0.1,-0.01,0.09,-0.03,0.13,-0.01,-0.02,-0.01,0.02,0.15,-0.03,0.01,0.07,0.06,0.05,0.07
0.01,-0.1,0.02,-0.02,-0.03,1.0,-0.05,-0.01,0.0,-0.01,-0.01,0.04,0.01,-0.03,-0.03,0.01,0.0,-0.0,-0.02,0.03,0.0,0.02,0.02,-0.0
0.02,-0.01,0.02,0.03,0.02,-0.05,1.0,0.04,-0.03,-0.07,-0.02,-0.02,0.02,-0.01,-0.0,0.0,0.05,-0.0,-0.01,-0.0,-0.02,-0.02,-0.03,-0.02
0.03,-0.13,0.05,0.01,0.04,-0.01,0.04,1.0,-0.01,-0.02,-0.02,-0.02,0.02,-0.02,-0.03,0.03,0.02,-0.01,-0.02,-0.01,-0.02,0.01,-0.02,0.03
0.51,-0.17,0.0,0.01,0.1,0.0,-0.03,-0.01,1.0,-0.0,0.95,0.04,0.14,-0.03,-0.02,0.02,0.01,0.78,-0.02,0.04,0.53,0.39,0.35,0.38
-0.0,-0.1,0.03,-0.0,-0.01,-0.01,-0.07,-0.02,-0.0,1.0,-0.01,0.0,-0.06,0.02,0.0,-0.01,0.01,-0.02,-0.01,-0.02,-0.0,-0.0,-0.02,-0.03
0.5,-0.16,0.01,-0.02,0.09,-0.01,-0.02,-0.02,0.95,-0.01,1.0,0.03,0.15,-0.03,-0.02,0.03,0.01,0.77,-0.02,0.03,0.51,0.36,0.34,0.34
0.03,0.02,-0.03,0.03,-0.03,0.04,-0.02,-0.02,0.04,0.0,0.03,1.0,0.02,-0.01,-0.01,-0.0,-0.03,0.03,0.0,0.01,-0.02,-0.01,0.0,-0.04
0.3,0.04,0.04,-0.03,0.13,0.01,0.02,0.02,0.14,-0.06,0.15,0.02,1.0,-0.01,-0.01,0.05,0.03,0.24,-0.07,-0.01,-0.12,-0.09,-0.04,-0.11
0.0,-0.01,0.02,0.04,-0.01,-0.03,-0.01,-0.02,-0.03,0.02,-0.03,-0.01,-0.01,1.0,0.77,-0.04,0.01,-0.02,-0.01,-0.0,-0.04,-0.0,-0.02,-0.01
0.0,0.0,0.0,0.03,-0.02,-0.03,-0.0,-0.03,-0.02,0.0,-0.02,-0.01,-0.01,0.77,1.0,-0.03,0.0,0.01,-0.02,0.0,0.0,0.03,0.02,0.02
0.05,-0.05,0.01,0.01,-0.01,0.01,0.0,0.03,0.02,-0.01,0.03,-0.0,0.05,-0.04,-0.03,1.0,-0.05,0.02,0.0,0.02,0.02,-0.02,0.03,-0.0
0.04,-0.14,0.04,0.04,0.02,0.0,0.05,0.02,0.01,0.01,0.01,-0.03,0.03,0.01,0.0,-0.05,1.0,0.01,0.01,0.0,0.02,0.05,0.01,0.02
0.68,-0.17,0.01,0.0,0.15,-0.0,-0.0,-0.01,0.78,-0.02,0.77,0.03,0.24,-0.02,0.01,0.02,0.01,1.0,-0.04,0.0,0.63,0.46,0.4,0.46
-0.02,-0.06,0.0,-0.04,-0.03,-0.02,-0.01,-0.02,-0.02,-0.01,-0.02,0.0,-0.07,-0.01,-0.02,0.0,0.01,-0.04,1.0,0.03,0.0,-0.01,-0.0,-0.0
-0.02,-0.06,-0.04,-0.03,0.01,0.03,-0.0,-0.01,0.04,-0.02,0.03,0.01,-0.01,-0.0,0.0,0.02,0.0,0.0,0.03,1.0,0.01,0.05,0.01,0.0
0.31,-0.13,-0.03,0.01,0.07,0.0,-0.02,-0.02,0.53,-0.0,0.51,-0.02,-0.12,-0.04,0.0,0.02,0.02,0.63,0.0,0.01,1.0,0.76,0.62,0.77
0.21,-0.16,0.01,0.02,0.06,0.02,-0.02,0.01,0.39,-0.0,0.36,-0.01,-0.09,-0.0,0.03,-0.02,0.05,0.46,-0.01,0.05,0.76,1.0,0.55,0.71
0.22,-0.03,-0.03,0.01,0.05,0.02,-0.03,-0.02,0.35,-0.02,0.34,0.0,-0.04,-0.02,0.02,0.03,0.01,0.4,-0.0,0.01,0.62,0.55,1.0,0.51
0.2,-0.16,-0.03,0.01,0.07,-0.0,-0.02,0.03,0.38,-0.03,0.34,-0.04,-0.11,-0.01,0.02,-0.0,0.02,0.46,-0.0,0.0,0.77,0.71,0.51,1.0
