Column,Data_Type,Unique_Count,Missing_Count
Age,int64,43,0
Attrition,int64,2,0
BusinessTravel,object,3,0
DailyRate,int64,886,0
Department,object,3,0
DistanceFromHome,int64,29,0
Education,int64,5,0
EducationField,object,6,0
EnvironmentSatisfaction,int64,4,0
Gender,object,2,0
HourlyRate,int64,71,0
JobInvolvement,int64,4,0
JobLevel,int64,5,0
JobRole,object,9,0
JobSatisfaction,int64,4,0
MaritalStatus,object,3,0
MonthlyIncome,int64,1349,0
MonthlyRate,int64,1427,0
NumCompaniesWorked,int64,10,0
OverTime,object,2,0
PercentSalaryHike,int64,15,0
PerformanceRating,int64,2,0
RelationshipSatisfaction,int64,4,0
StockOptionLevel,int64,4,0
TotalWorkingYears,int64,40,0
TrainingTimesLastYear,int64,7,0
WorkLifeBalance,int64,4,0
YearsAtCompany,int64,37,0
YearsInCurrentRole,int64,19,0
YearsSinceLastPromotion,int64,16,0
YearsWithCurrManager,int64,18,0
