YearsAtCompany,YearsSinceLastPromotion,PromotionGapRatio,YearsInCurrentRole,RoleStagnationRatio,YearsWithCurrManager,ManagerStabilityRatio
6,0,0.0,4,0.6666666666666666,5,0.8333333333333334
10,1,0.1,7,0.7,7,0.7
0,0,0.0,0,0.0,0,0.0
8,3,0.375,7,0.875,0,0.0
2,2,1.0,2,1.0,2,1.0
7,3,0.42857142857142855,7,1.0,6,0.8571428571428571
1,0,0.0,0,0.0,0,0.0
1,0,0.0,0,0.0,0,0.0
9,1,0.1111111111111111,7,0.7777777777777778,8,0.8888888888888888
7,7,1.0,7,1.0,7,1.0
5,0,0.0,4,0.8,3,0.6
9,0,0.0,5,0.5555555555555556,8,0.8888888888888888
5,4,0.8,2,0.4,3,0.6
2,1,0.5,2,1.0,2,1.0
4,0,0.0,2,0.5,3,0.75
10,8,0.8,9,0.9,8,0.8
6,0,0.0,2,0.3333333333333333,5,0.8333333333333334
1,0,0.0,0,0.0,0,0.0
25,3,0.12,8,0.32,7,0.28
3,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666
