PromotionGapRatio,RoleStagnationRatio,ManagerStabilityRatio,CareerStage,PromotionGapGroup,RoleDurationGroup,TrainingGroup
0.0,0.6666666666666666,0.8333333333333334,Established,Recent Promotion,Established,No Training
0.1,0.7,0.7,Established,Recent Promotion,Long Time in Role,Moderate Training
0.0,0.0,0.0,Early Career,Recent Promotion,New in Role,Moderate Training
0.375,0.875,0.0,Established,Moderate Gap,Long Time in Role,Moderate Training
1.0,1.0,1.0,Early Career,Moderate Gap,New in Role,Moderate Training
0.42857142857142855,1.0,0.8571428571428571,Established,Moderate Gap,Long Time in Role,Low Training
0.0,0.0,0.0,Early Career,Recent Promotion,New in Role,Moderate Training
0.0,0.0,0.0,Early Career,Recent Promotion,New in Role,Low Training
0.1111111111111111,0.7777777777777778,0.8888888888888888,Established,Recent Promotion,Long Time in Role,Low Training
1.0,1.0,1.0,Established,Long Promotion Gap,Long Time in Role,Moderate Training
0.0,0.8,0.6,Developing,Recent Promotion,Established,High Training
0.0,0.5555555555555556,0.8888888888888888,Established,Recent Promotion,Established,Moderate Training
0.8,0.4,0.6,Developing,Moderate Gap,New in Role,Low Training
0.5,1.0,1.0,Early Career,Recent Promotion,New in Role,Low Training
0.0,0.5,0.75,Developing,Recent Promotion,New in Role,Moderate Training
0.8,0.9,0.8,Established,Long Promotion Gap,Long Time in Role,Low Training
0.0,0.3333333333333333,0.8333333333333334,Established,Recent Promotion,New in Role,High Training
0.0,0.0,0.0,Early Career,Recent Promotion,New in Role,Low Training
0.12,0.32,0.28,Experienced,Moderate Gap,Long Time in Role,Moderate Training
0.3333333333333333,0.6666666666666666,0.6666666666666666,Developing,Recent Promotion,New in Role,Moderate Training
