Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,PerformanceRating,JobSatisfaction,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityScore,RetentionOpportunityLevel,RecommendedAction,Attrition
Sales,Sales Executive,2,6,4,0,5,0,3,4,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,2,10,7,1,7,3,4,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,8,7,3,0,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,3,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,7,3,6,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,4,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,2,4,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,9,7,1,8,2,4,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,7,7,7,7,3,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,0,3,5,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,9,5,0,8,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,4,3,1,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,1,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,2,0,3,4,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,10,9,8,8,1,3,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,2,0,5,5,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Manager,4,25,8,3,7,3,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,2,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,4,2,1,3,5,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,5,3,0,3,4,4,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Director,3,12,6,2,11,4,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,6,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,1,3,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Manager,5,14,13,4,8,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,2,6,7,5,4,1,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,9,7,4,2,2,3,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,22,6,5,17,4,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Manager,5,2,2,2,1,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,1,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,4,2,1,3,5,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,10,0,1,8,5,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,2,1,0,0,0,6,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,2,0,2,0,2,3,4,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,5,3,1,4,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,0,2,2,3,3,1,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,2,2,2,2,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,1,0,0,3,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,3,1,3,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,6,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,1,2,3,3,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,9,8,1,7,0,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,12,8,3,7,2,4,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,22,15,15,8,0,3,3,6,High,0,Low,No Immediate Action,1
Sales,Sales Executive,2,9,5,8,7,2,4,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,1,4,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,9,6,0,8,4,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,1,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,3,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,2,2,2,2,3,3,3,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,4,3,1,3,2,4,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,4,0,2,3,3,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,15,14,8,12,1,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,8,1,8,3,4,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,7,7,1,7,3,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,7,5,0,7,2,3,3,2,Low,0,Low,No Immediate Action,0
